Stock Invested In,Sector,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,1790.8,11.26%,0.21%,11.26%,10.19%,5.14 L,0.00
Eternal Ltd.,E-retail/ e-commerce,1457.8,9.16%,-0.21%,9.47%,6.89%,45.88 L,0.00
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,1400.2,8.80%,0.10%,8.8%,7.17%,86.51 k,0.00
InterGlobe Aviation Ltd.,Airline,955.8,6.01%,0.04%,7.52%,5.3%,1.70 L,0.00
Motherson Sumi Systems Ltd.,Auto components & equipments,869.8,5.47%,-0.01%,5.74%,4.99%,82.53 L,0.00
Hero Motocorp Ltd.,2/3 wheelers,803.0,5.05%,0.07%,5.46%,4.01%,1.45 L,0.00
TVS Motor Company Ltd.,2/3 wheelers,773.0,4.86%,0.10%,4.86%,3.42%,2.20 L,0.00
Bajaj Auto Ltd.,2/3 wheelers,561.1,3.53%,0.09%,5.5%,3.44%,63.10 k,0.00
Minda Corporation Ltd.,Auto components & equipments,550.8,3.46%,-0.03%,3.92%,2.97%,9.77 L,0.00
Adani Ports And Special Economic Zone Ltd.,Port & port services,482.0,3.03%,0.10%,3.23%,1.38%,3.32 L,0.00
