Stock Invested in,Sector,Value (Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,1804.7,10.41%,-0.41%,10.82% (Sep 2025),8.75% (Dec 2024),1.12 L,0.00
Eicher Motors Ltd.,2/3 wheelers,1606.0,9.26%,-0.46%,10.5% (Apr 2025),8.64% (Jul 2025),2.29 L,0.00
Hyundai Motor India Ltd.,Passenger cars & utility vehicles,1219.8,7.04%,-0.79%,8.03% (Aug 2025),6.56% (Jan 2025),5.00 L,0.00
Bosch Ltd.,Auto components & equipments,1117.4,6.45%,-0.48%,8.16% (Jul 2025),5.4% (Jan 2025),30.00 k,0.00
Gabriel India Ltd.,Auto components & equipments,1025.2,5.91%,0.15%,6.05% (Aug 2025),3.01% (Nov 2024),8.05 L,0.00
Hero Motocorp Ltd.,2/3 wheelers,997.9,5.76%,-0.20%,5.96% (Sep 2025),0% (Nov 2024),1.80 L,0.00
Bajaj Auto Ltd.,2/3 wheelers,907.0,5.23%,-0.13%,7.06% (Jan 2025),5.23% (Oct 2025),1.02 L,0.00
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,697.4,4.02%,-0.13%,5.85% (Jan 2025),4.02% (Oct 2025),2.00 L,0.00
MRF Ltd.,Tyres & rubber products,555.2,3.20%,0.09%,3.2% (Oct 2025),0% (Nov 2024),3.53 k,0.00
Apollo Tyres Limited,Tyres & rubber products,551.7,3.18%,0.03%,3.18% (Oct 2025),1.63% (Feb 2025),11.00 L,0.00
