Stock,fund_count
Bajaj Auto Ltd.,6
Maruti Suzuki India Ltd.,6
Mahindra & Mahindra Ltd.,6
InterGlobe Aviation Ltd.,5
Eternal Ltd.,5
Hero Motocorp Ltd.,5
Hyundai Motor India Ltd.,4
Eicher Motors Ltd.,4
TVS Motor Company Ltd.,3
Adani Ports And Special Economic Zone Ltd.,3
Motherson Sumi Systems Ltd.,2
Bosch Ltd.,2
Apollo Tyres Limited,1
MRF Ltd.,1
Great Eastern Shipping Co. Ltd.,1
Gabriel India Ltd.,1
Minda Corporation Ltd.,1
Swiggy Ltd.,1
TML Commercial Vehicles Ltd.,1
Tata Motors Passenger Vehicles Ltd.,1
WABCO India Ltd.,1
